state_fips,county_fips,poverty_all_pct,child_poverty_pct,median_income,county,year
37,183,8.4,10.4,80169,Wake,2018
37,185,19.8,30.1,38430,Warren,2018
37,187,21.1,38.7,36042,Washington,2018
37,189,21.2,15.3,48489,Watauga,2018
37,191,20.2,31.5,41572,Wayne,2018
37,193,18.9,31.6,44080,Wilkes,2018
37,195,21.1,31.1,44015,Wilson,2018
37,197,13.0,20.5,49070,Yadkin,2018
37,199,17.8,26.3,44756,Yancey,2018
37,1,14.6,21.8,57963,Alamance,2019
37,3,11.7,16.7,54960,Alexander,2019
37,5,16.9,26.3,41420,Alleghany,2019
37,7,21.4,31.1,40826,Anson,2019
37,9,14.6,22.6,41542,Ashe,2019
37,11,16.4,24.4,45823,Avery,2019
37,13,17.6,29.5,49410,Beaufort,2019
37,15,24.2,32.4,37899,Bertie,2019
37,17,21.2,29.9,42260,Bladen,2019
37,19,10.2,21.0,63712,Brunswick,2019
37,21,12.2,17.3,55448,Buncombe,2019
37,23,18.4,30.5,47890,Burke,2019
37,25,7.9,10.6,72071,Cabarrus,2019
37,27,12.0,17.8,48512,Caldwell,2019
37,29,7.6,9.4,69610,Camden,2019
37,31,10.4,17.0,60058,Carteret,2019
37,33,16.2,25.1,51240,Caswell,2019
37,35,13.3,18.6,53688,Catawba,2019
37,37,8.7,12.4,70258,Chatham,2019
37,39,17.7,29.3,42764,Cherokee,2019
37,41,18.5,28.5,47126,Chowan,2019
37,43,14.0,25.5,47116,Clay,2019
37,45,19.0,30.5,46012,Cleveland,2019
37,47,22.3,32.5,39531,Columbus,2019
37,49,13.8,20.0,53372,Craven,2019
37,51,18.0,25.7,46599,Cumberland,2019
37,53,8.8,13.7,70699,Currituck,2019
37,55,8.9,13.8,63033,Dare,2019
37,57,15.2,22.6,53924,Davidson,2019
37,59,10.9,15.1,63828,Davie,2019
37,61,17.7,28.9,44929,Duplin,2019
37,63,14.0,20.6,65541,Durham,2019
37,65,21.0,33.3,40784,Edgecombe,2019
37,67,15.2,22.5,53054,Forsyth,2019
37,69,11.6,17.0,57371,Franklin,2019
37,71,11.6,16.5,56542,Gaston,2019
37,73,14.7,21.1,54204,Gates,2019
37,75,16.8,23.2,45813,Graham,2019
37,77,14.6,22.5,54300,Granville,2019
37,79,20.2,30.4,44648,Greene,2019
37,81,16.0,23.1,55820,Guilford,2019
37,83,23.8,37.5,38727,Halifax,2019
37,85,15.6,20.6,55619,Harnett,2019
37,87,10.6,16.7,51612,Haywood,2019
37,89,10.6,18.1,61651,Henderson,2019
37,91,23.0,28.3,42374,Hertford,2019
37,93,16.9,22.2,48420,Hoke,2019
37,95,19.2,28.1,43112,Hyde,2019
37,97,8.2,11.5,68308,Iredell,2019
37,99,19.3,24.8,47759,Jackson,2019
37,101,12.5,18.1,62835,Johnston,2019
37,103,18.8,31.8,46275,Jones,2019
37,105,14.2,21.1,53114,Lee,2019
37,107,23.1,37.1,39947,Lenoir,2019
37,109,9.0,13.0,70479,Lincoln,2019
37,111,13.6,19.8,46370,McDowell,2019
37,113,14.3,22.9,46279,Macon,2019
37,115,14.6,19.7,50062,Madison,2019
37,117,20.6,33.5,39413,Martin,2019
37,119,10.3,13.8,69455,Mecklenburg,2019
37,121,14.8,22.1,47675,Mitchell,2019
37,123,16.1,24.2,46497,Montgomery,2019
37,125,11.3,17.1,63942,Moore,2019
37,127,16.4,22.1,50902,Nash,2019
37,129,13.0,16.2,57252,New Hanover,2019
37,131,21.6,37.2,39777,Northampton,2019
37,133,12.5,17.9,50645,Onslow,2019
37,135,13.4,13.3,74314,Orange,2019
37,137,15.9,28.4,52522,Pamlico,2019
37,139,14.3,24.1,51245,Pasquotank,2019
37,141,11.5,17.1,60405,Pender,2019
37,143,15.0,26.3,50804,Perquimans,2019
37,145,15.4,26.8,54553,Person,2019
37,147,19.2,24.1,52961,Pitt,2019
37,149,12.1,20.7,53405,Polk,2019
37,151,14.1,18.9,50129,Randolph,2019
37,153,25.8,42.7,40518,Richmond,2019
37,155,31.5,48.1,36366,Robeson,2019
37,157,18.4,25.5,44686,Rockingham,2019
37,159,13.9,19.8,52051,Rowan,2019
37,161,18.5,28.1,44547,Rutherford,2019
37,163,16.8,26.1,45997,Sampson,2019
37,165,28.5,46.3,39197,Scotland,2019
37,167,10.7,16.7,58303,Stanly,2019
37,169,13.0,17.0,52356,Stokes,2019
37,171,16.0,22.6,48637,Surry,2019
37,173,16.1,27.4,46075,Swain,2019
37,175,13.1,20.3,55628,Transylvania,2019
37,177,25.4,34.9,37680,Tyrrell,2019
37,179,7.3,8.8,86138,Union,2019
37,181,18.5,31.0,40450,Vance,2019
37,183,8.0,9.4,84377,Wake,2019
37,185,21.7,32.7,37027,Warren,2019
37,187,21.3,36.4,40157,Washington,2019
37,189,21.4,14.3,51630,Watauga,2019
37,191,18.6,30.2,45634,Wayne,2019
37,193,15.2,21.1,45250,Wilkes,2019
37,195,21.5,32.2,42414,Wilson,2019
37,197,13.9,23.8,50929,Yadkin,2019
37,199,14.2,22.0,47664,Yancey,2019
37,1,15.1,18.3,53220,Alamance,2020
37,3,11.8,16.8,53523,Alexander,2020
37,5,18.1,30.7,39916,Alleghany,2020
37,7,20.7,29.3,40818,Anson,2020
37,9,14.5,22.4,44543,Ashe,2020
37,11,15.8,23.8,50800,Avery,2020
37,13,18.1,29.0,50253,Beaufort,2020
37,15,22.8,31.5,41889,Bertie,2020
37,17,21.6,35.5,43664,Bladen,2020
37,19,11.2,19.6,64371,Brunswick,2020
37,21,13.9,17.4,66156,Buncombe,2020
37,23,18.4,30.1,48729,Burke,2020
37,25,8.0,10.5,79736,Cabarrus,2020
37,27,13.0,19.1,50235,Caldwell,2020
37,29,7.4,8.6,72135,Camden,2020
37,31,9.3,16.0,63475,Carteret,2020
37,33,15.4,24.0,48070,Caswell,2020
37,35,11.6,17.2,52737,Catawba,2020
37,37,9.6,13.3,74747,Chatham,2020
37,39,15.1,24.9,44449,Cherokee,2020
37,41,17.3,28.9,45365,Chowan,2020
37,43,16.4,24.1,44052,Clay,2020
37,45,15.0,21.7,49041,Cleveland,2020
37,47,21.3,26.6,40712,Columbus,2020
37,49,13.2,19.0,53960,Craven,2020
37,51,18.5,25.3,49160,Cumberland,2020
37,53,9.6,14.8,73433,Currituck,2020
37,55,8.8,13.2,72962,Dare,2020
37,57,12.0,17.5,56067,Davidson,2020
37,59,9.6,13.0,65418,Davie,2020
37,61,18.3,26.9,49755,Duplin,2020
37,63,11.7,16.2,65619,Durham,2020
37,65,24.1,45.4,45156,Edgecombe,2020
37,67,13.0,18.8,56158,Forsyth,2020
37,69,12.0,16.4,54868,Franklin,2020
37,71,11.8,16.1,60622,Gaston,2020
37,73,13.2,19.7,57680,Gates,2020
37,75,16.6,23.8,42057,Graham,2020
37,77,15.0,15.4,53112,Granville,2020
37,79,21.3,29.7,47605,Greene,2020
37,81,13.3,19.3,55577,Guilford,2020
37,83,23.9,31.0,41098,Halifax,2020
37,85,14.4,19.5,55586,Harnett,2020
37,87,13.6,20.8,50492,Haywood,2020
37,89,11.0,17.0,60550,Henderson,2020
37,91,20.7,28.0,46632,Hertford,2020
37,93,15.0,21.3,53728,Hoke,2020
37,95,20.0,28.0,45548,Hyde,2020
37,97,9.7,13.6,61892,Iredell,2020
37,99,16.6,20.0,49488,Jackson,2020
37,101,11.4,13.9,63882,Johnston,2020
37,103,18.3,29.3,44972,Jones,2020
37,105,15.4,22.4,57025,Lee,2020
37,107,17.2,26.1,40586,Lenoir,2020
37,109,11.9,13.4,56183,Lincoln,2020
37,111,15.2,22.8,47579,McDowell,2020
37,113,12.9,18.5,51973,Macon,2020
37,115,14.0,20.0,49373,Madison,2020
37,117,20.1,32.3,42264,Martin,2020
37,119,11.0,16.3,72340,Mecklenburg,2020
37,121,14.0,20.4,49236,Mitchell,2020
37,123,16.0,23.8,48522,Montgomery,2020
37,125,9.3,12.6,69413,Moore,2020
37,127,14.9,22.3,49883,Nash,2020
37,129,10.2,14.3,65615,New Hanover,2020
37,131,21.7,31.8,41630,Northampton,2020
37,133,12.5,15.9,52885,Onslow,2020
37,135,10.3,8.7,82732,Orange,2020
37,137,14.7,26.8,50481,Pamlico,2020
37,139,14.0,23.5,56654,Pasquotank,2020
37,141,12.3,16.5,59812,Pender,2020
37,143,14.4,26.0,50813,Perquimans,2020
37,145,13.5,19.5,58991,Person,2020
37,147,17.1,21.5,49955,Pitt,2020
37,149,12.0,18.7,58607,Polk,2020
37,151,14.2,19.7,48849,Randolph,2020
37,153,21.5,34.2,42335,Richmond,2020
37,155,26.6,39.2,39139,Robeson,2020
37,157,13.8,22.0,50388,Rockingham,2020
37,159,14.4,22.2,55398,Rowan,2020
37,161,19.1,25.5,44004,Rutherford,2020
37,163,21.2,28.2,45387,Sampson,2020
37,165,29.7,45.6,33531,Scotland,2020
37,167,14.5,19.1,53769,Stanly,2020
37,169,12.1,19.0,59068,Stokes,2020
37,171,15.4,20.0,47114,Surry,2020
37,173,13.9,20.9,47559,Swain,2020
37,175,12.6,20.6,56880,Transylvania,2020
37,177,20.8,29.4,42260,Tyrrell,2020
37,179,7.0,8.4,90920,Union,2020
37,181,21.3,30.0,41935,Vance,2020
37,183,7.4,8.3,88763,Wake,2020
37,185,22.8,33.3,42808,Warren,2020
37,187,24.3,37.8,38704,Washington,2020
37,189,15.8,12.9,54004,Watauga,2020
37,191,14.9,23.2,52906,Wayne,2020
37,193,14.4,20.1,46830,Wilkes,2020
37,195,21.2,32.8,44089,Wilson,2020
37,197,12.1,16.8,53154,Yadkin,2020
37,199,14.9,22.2,48662,Yancey,2020
37,1,12.5,17.6,58847,Alamance,2021
37,3,12.6,18.3,52989,Alexander,2021
